测站编码,时间,时段降水量（5分钟雨量）,时段长,降水历时,日降水量,天气状况（5-雪，6-雨夹雪，7-雨，8-阴，9-晴）
61612610,17/11/2025 14:45:00,0.5,,,,7
61612610,17/11/2025 13:00:00,0.5,,,,7
61612610,9/11/2025 11:25:00,0.5,,,,7
61612610,7/11/2025 20:15:00,0.5,,,,7
61612610,7/11/2025 18:45:00,0.5,,,,7
61612610,7/11/2025 18:00:00,0.5,,,,7
61612610,7/11/2025 16:50:00,0.5,,,,7
61612610,7/11/2025 15:50:00,0.5,,,,7
61612610,7/11/2025 13:45:00,0.5,,,,7
61612610,7/11/2025 12:35:00,0.5,,,,7
61612610,7/11/2025 11:50:00,0.5,,,,7
61612610,7/11/2025 10:35:00,0.5,,,,7
61612610,7/11/2025 10:30:00,0.5,,,,7
61612610,7/11/2025 08:30:00,0.5,,,,7
61612610,7/11/2025 05:35:00,0.5,,,,7
61612610,7/11/2025 04:20:00,0.5,,,,7
61612610,7/11/2025 04:05:00,0.5,,,,7
61612610,7/11/2025 02:50:00,0.5,,,,7
61612610,7/11/2025 01:45:00,0.5,,,,7
61612610,6/11/2025 19:05:00,0.5,,,,7
61612610,6/11/2025 17:35:00,0.5,,,,7
61612610,6/11/2025 16:35:00,0.5,,,,7
61612610,6/11/2025 16:05:00,0.5,,,,7
61612610,6/11/2025 14:50:00,0.5,,,,7
61612610,6/11/2025 14:10:00,0.5,,,,7
61612610,6/11/2025 13:25:00,0.5,,,,7
61612610,6/11/2025 13:05:00,0.5,,,,7
61612610,6/11/2025 12:05:00,0.5,,,,7
61612610,6/11/2025 10:25:00,0.5,,,,7
61612610,6/11/2025 08:55:00,0.5,,,,7
61612610,30/10/2025 12:40:00,0.5,,,,7
61612610,30/10/2025 09:00:00,0.5,,,,7
61612610,30/10/2025 08:35:00,0.5,,,,7
61612610,30/10/2025 08:15:00,0.5,,,,7
61612610,30/10/2025 06:25:00,0.5,,,,7
61612610,30/10/2025 05:55:00,0.5,,,,7
61612610,30/10/2025 05:30:00,0.5,,,,7
61612610,30/10/2025 04:35:00,0.5,,,,7
61612610,30/10/2025 04:15:00,0.5,,,,7
61612610,30/10/2025 04:00:00,0.5,,,,7
61612610,30/10/2025 03:35:00,0.5,,,,7
61612610,30/10/2025 03:15:00,0.5,,,,7
61612610,30/10/2025 02:55:00,0.5,,,,7
61612610,30/10/2025 02:50:00,0.5,,,,7
61612610,30/10/2025 02:40:00,0.5,,,,7
61612610,30/10/2025 02:00:00,0.5,,,,7
61612610,30/10/2025 01:45:00,0.5,,,,7
61612610,30/10/2025 01:35:00,0.5,,,,7
61612610,25/10/2025 16:25:00,0.5,,,,7
61612610,21/10/2025 06:55:00,0.5,,,,7
61612610,21/10/2025 06:05:00,0.5,,,,7
61612610,21/10/2025 04:35:00,0.5,,,,7
61612610,21/10/2025 04:00:00,0.5,,,,7
61612610,21/10/2025 03:20:00,0.5,,,,7
61612610,21/10/2025 02:55:00,0.5,,,,7
61612610,21/10/2025 02:25:00,0.5,,,,7
61612610,21/10/2025 01:55:00,0.5,,,,7
61612610,21/10/2025 01:20:00,0.5,,,,7
61612610,21/10/2025 00:35:00,0.5,,,,7
61612610,20/10/2025 21:30:00,0.5,,,,7
61612610,20/10/2025 13:55:00,0.5,,,,7
61612610,20/10/2025 03:15:00,0.5,,,,7
61612610,19/10/2025 10:00:00,0.5,,,,7
61612610,19/10/2025 09:10:00,0.5,,,,7
61612610,19/10/2025 08:50:00,0.5,,,,7
61612610,19/10/2025 08:25:00,0.5,,,,7
61612610,19/10/2025 07:35:00,0.5,,,,7
61612610,19/10/2025 06:00:00,0.5,,,,7
61612610,18/10/2025 20:35:00,0.5,,,,7
61612610,18/10/2025 20:15:00,0.5,,,,7
61612610,18/10/2025 20:05:00,0.5,,,,7
61612610,18/10/2025 19:35:00,0.5,,,,7
61612610,18/10/2025 19:15:00,0.5,,,,7
61612610,18/10/2025 18:55:00,0.5,,,,7
61612610,18/10/2025 18:05:00,0.5,,,,7
61612610,18/10/2025 16:25:00,0.5,,,,7
61612610,18/10/2025 14:05:00,0.5,,,,7
61612610,18/10/2025 13:05:00,0.5,,,,7
61612610,18/10/2025 12:45:00,0.5,,,,7
61612610,18/10/2025 12:30:00,0.5,,,,7
61612610,18/10/2025 11:35:00,0.5,,,,7
61612610,18/10/2025 08:10:00,0.5,,,,7
61612610,18/10/2025 07:00:00,0.5,,,,7
61612610,18/10/2025 05:50:00,0.5,,,,7
61612610,18/10/2025 05:35:00,0.5,,,,7
61612610,18/10/2025 05:25:00,0.5,,,,7
61612610,18/10/2025 05:15:00,0.5,,,,7
61612610,18/10/2025 04:50:00,0.5,,,,7
61612610,18/10/2025 04:30:00,0.5,,,,7
61612610,18/10/2025 04:15:00,0.5,,,,7
61612610,18/10/2025 04:00:00,0.5,,,,7
61612610,18/10/2025 03:00:00,0.5,,,,7
61612610,18/10/2025 02:35:00,0.5,,,,7
61612610,18/10/2025 02:20:00,0.5,,,,7
61612610,18/10/2025 02:10:00,0.5,,,,7
61612610,18/10/2025 01:50:00,0.5,,,,7
61612610,18/10/2025 01:35:00,0.5,,,,7
61612610,18/10/2025 01:20:00,0.5,,,,7
61612610,18/10/2025 00:00:00,0.5,,,,7
61612610,17/10/2025 23:55:00,1.5,,,,7
61612610,17/10/2025 23:50:00,0.5,,,,7
61612610,17/10/2025 23:45:00,0.5,,,,7
61612610,17/10/2025 17:10:00,0.5,,,,7
61612610,16/10/2025 23:45:00,0.5,,,,7
61612610,16/10/2025 23:35:00,0.5,,,,7
61612610,16/10/2025 23:10:00,0.5,,,,7
61612610,16/10/2025 23:00:00,0.5,,,,7
61612610,16/10/2025 22:50:00,0.5,,,,7
61612610,16/10/2025 03:00:00,0.5,,,,7
61612610,15/10/2025 21:40:00,0.5,,,,7
61612610,15/10/2025 21:20:00,0.5,,,,7
61612610,15/10/2025 21:10:00,0.5,,,,7
61612610,15/10/2025 20:40:00,0.5,,,,7
61612610,15/10/2025 20:35:00,0.5,,,,7
61612610,15/10/2025 18:35:00,0.5,,,,7
61612610,15/10/2025 17:15:00,0.5,,,,7
61612610,15/10/2025 17:05:00,0.5,,,,7
61612610,15/10/2025 16:35:00,0.5,,,,7
61612610,15/10/2025 16:20:00,0.5,,,,7
61612610,15/10/2025 16:10:00,0.5,,,,7
61612610,15/10/2025 15:55:00,0.5,,,,7
