t=2026-04-13T15:44:25+0800 lvl=info msg="no configuration paths supplied"
t=2026-04-13T15:44:25+0800 lvl=info msg="using configuration at default config path" path=/home/lyq/.config/ngrok/ngrok.yml
t=2026-04-13T15:44:25+0800 lvl=info msg="open config file" path=/home/lyq/.config/ngrok/ngrok.yml err=nil
t=2026-04-13T15:44:25+0800 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-04-13T15:44:25+0800 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-04-13T15:44:26+0800 lvl=info msg="client session established" obj=tunnels.session
t=2026-04-13T15:44:26+0800 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-04-13T15:44:26+0800 lvl=info msg="started tunnel" obj=tunnels name=command_line addr=http://localhost:8000 url=https://pulplike-partingly-emilee.ngrok-free.dev
t=2026-04-13T15:44:26+0800 lvl=info msg="update available" obj=updater
t=2026-04-13T15:44:33+0800 lvl=info msg="join connections" obj=join id=4c0a5fff84df l=127.0.0.1:8000 r=141.11.146.78:46758
t=2026-04-13T15:44:38+0800 lvl=info msg="join connections" obj=join id=71c7f8d0dee1 l=127.0.0.1:8000 r=141.11.146.78:46758
t=2026-04-13T15:44:41+0800 lvl=info msg="join connections" obj=join id=b726e3ea5082 l=127.0.0.1:8000 r=125.80.194.216:59707
t=2026-04-13T15:44:53+0800 lvl=info msg="join connections" obj=join id=9f71167e4ebf l=127.0.0.1:8000 r=125.80.194.216:59707
t=2026-04-13T15:45:53+0800 lvl=info msg="join connections" obj=join id=fa2fa1701d46 l=127.0.0.1:8000 r=125.80.194.216:59707
t=2026-04-13T15:46:04+0800 lvl=info msg="join connections" obj=join id=e9801a5e3051 l=127.0.0.1:8000 r=125.80.194.216:59707
t=2026-04-13T15:46:07+0800 lvl=info msg="join connections" obj=join id=0a0d152c60d6 l=127.0.0.1:8000 r=125.80.194.216:59707
t=2026-04-13T15:52:13+0800 lvl=info msg="join connections" obj=join id=1c291c360d6e l=127.0.0.1:8000 r=125.80.194.216:60467
t=2026-04-13T15:53:38+0800 lvl=info msg="join connections" obj=join id=2c4b419b22a8 l=127.0.0.1:8000 r=39.98.165.29:39518
t=2026-04-13T15:54:05+0800 lvl=info msg="join connections" obj=join id=095349cd7389 l=127.0.0.1:8000 r=39.98.165.29:39518
t=2026-04-13T15:55:49+0800 lvl=info msg="join connections" obj=join id=b32a09eb4e0d l=127.0.0.1:8000 r=125.80.194.216:60467
t=2026-04-13T15:57:05+0800 lvl=info msg="join connections" obj=join id=0d71aff76132 l=127.0.0.1:8000 r=125.80.194.216:60467
t=2026-04-13T15:58:21+0800 lvl=info msg="join connections" obj=join id=2871c6c347e8 l=127.0.0.1:8000 r=125.80.194.216:60467
t=2026-04-13T15:59:59+0800 lvl=info msg="join connections" obj=join id=bd8023e327e5 l=127.0.0.1:8000 r=125.80.194.216:60467
t=2026-04-13T16:01:07+0800 lvl=info msg="join connections" obj=join id=a1e86228bff4 l=127.0.0.1:8000 r=125.80.194.216:60467
t=2026-04-13T16:01:10+0800 lvl=info msg="join connections" obj=join id=ba13e5374b80 l=127.0.0.1:8000 r=125.80.194.216:61503
t=2026-04-13T16:01:13+0800 lvl=info msg="join connections" obj=join id=ede39f4e641d l=127.0.0.1:8000 r=125.80.194.216:61503
t=2026-04-13T16:05:16+0800 lvl=info msg="join connections" obj=join id=1a5fdf987570 l=127.0.0.1:8000 r=141.11.146.78:61151
t=2026-04-13T16:05:31+0800 lvl=info msg="join connections" obj=join id=7488c780d1bb l=127.0.0.1:8000 r=39.98.165.29:39250
t=2026-04-13T16:05:50+0800 lvl=info msg="join connections" obj=join id=c567680b8191 l=127.0.0.1:8000 r=125.80.194.216:61503
t=2026-04-13T16:05:59+0800 lvl=info msg="join connections" obj=join id=475f3abcc7d1 l=127.0.0.1:8000 r=125.80.194.216:61503
t=2026-04-13T16:07:46+0800 lvl=info msg="join connections" obj=join id=0d8497b3dae8 l=127.0.0.1:8000 r=125.80.194.216:61503
t=2026-04-13T16:08:13+0800 lvl=info msg="join connections" obj=join id=0824ff24a279 l=127.0.0.1:8000 r=125.80.194.216:61503
t=2026-04-13T16:08:26+0800 lvl=info msg="join connections" obj=join id=7c765b3a9a9f l=127.0.0.1:8000 r=125.80.194.216:61503
t=2026-04-13T16:10:44+0800 lvl=info msg="join connections" obj=join id=39f2eb01becf l=127.0.0.1:8000 r=125.80.194.216:61503
